item,serial_number,Model,appraisal_value,item_description,category,remarks
methodology,0257754407,responsive,22592,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,3,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
transitional,4810729001,Triple-buffered,35984,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,2,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
Robust,1978818653,Fully-configurable,38735,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,4,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
flexibility,6959712920,parallelism,49872,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,2,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
Expanded,4523360936,model,1267,condimentum neque sapien placerat ante nulla justo aliquam quis turpis,5,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
Synergistic,5606519658,Adaptive,47809,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,4,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
firmware,0271353570,Upgradable,3929,neque duis bibendum morbi non quam nec dui luctus rutrum,5,quis odio consequat varius integer ac leo pellentesque ultrices mattis
upward-trending,5985290603,conglomeration,48196,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,4,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
stable,2422188699,monitoring,4653,ligula nec sem duis aliquam convallis nunc proin at turpis a pede,4,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in
encryption,4981397631,high-level,36206,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,5,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
instruction set,0212824139,flexibility,34169,libero nullam sit amet turpis elementum ligula vehicula consequat morbi,5,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
even-keeled,7436107232,Compatible,38912,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,1,felis eu sapien cursus vestibulum proin eu mi nulla ac enim
secured line,8644517740,Enterprise-wide,17426,morbi a ipsum integer a nibh in quis justo maecenas,2,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Public-key,9635462840,concept,38060,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,4,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
task-force,9984965414,high-level,45498,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,1,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
non-volatile,2702029582,access,17623,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,4,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
strategy,8399461857,project,2937,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,5,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Team-oriented,3329970979,Networked,38696,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,5,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
Future-proofed,0901277894,concept,25441,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,4,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
modular,2699323160,24 hour,11265,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,3,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
Fundamental,6081378470,encoding,4849,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,1,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
local,8749679236,Public-key,26957,lorem id ligula suspendisse ornare consequat lectus in est risus auctor,3,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
global,3181869554,bandwidth-monitored,45567,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
multi-state,9115312720,even-keeled,5884,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,3,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
bottom-line,4673075838,emulation,34934,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,4,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
Streamlined,6356538686,Total,14851,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,2,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
help-desk,1294532723,maximized,23531,amet erat nulla tempus vivamus in felis eu sapien cursus,4,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
time-frame,5492179659,flexibility,47663,purus eu magna vulputate luctus cum sociis natoque penatibus et,5,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
circuit,7184493621,5th generation,11662,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
value-added,3223085009,Seamless,27166,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,2,luctus et ultrices posuere cubilia curae mauris viverra diam vitae
interactive,2040452842,Multi-layered,28379,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,2,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
matrices,8248160009,holistic,47101,aliquam convallis nunc proin at turpis a pede posuere nonummy integer,1,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
methodical,3071548222,disintermediate,15830,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,1,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
Multi-lateral,2901715621,Sharable,21135,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,4,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
conglomeration,8683979695,Decentralized,16412,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,1,lectus pellentesque eget nunc donec quis orci eget orci vehicula
6th generation,8701284355,Self-enabling,28626,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,3,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
Devolved,9138390396,archive,36630,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,1,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
Programmable,0654724113,access,43447,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,5,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
array,0504238361,uniform,35383,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,3,a libero nam dui proin leo odio porttitor id consequat in
Customer-focused,9158633626,Stand-alone,16082,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,2,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
Grass-roots,8759548444,Reverse-engineered,30623,erat eros viverra eget congue eget semper rutrum nulla nunc purus,5,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
groupware,0689657226,pricing structure,12998,lorem quisque ut erat curabitur gravida nisi at nibh in hac,3,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
concept,4732564739,portal,37015,vel sem sed sagittis nam congue risus semper porta volutpat,5,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
implementation,4387670347,Centralized,45594,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,4,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
object-oriented,0522034519,Re-contextualized,22734,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,5,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
mission-critical,2965288406,Multi-lateral,43366,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,5,erat id mauris vulputate elementum nullam varius nulla facilisi cras
Diverse,4214247841,open system,23786,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,2,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
customer loyalty,1345093896,Synergized,48471,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,1,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
task-force,0331616521,Business-focused,29887,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,2,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
leverage,8806818392,Phased,24819,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,4,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
grid-enabled,9747670194,disintermediate,47226,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,1,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
strategy,6360651777,bandwidth-monitored,24915,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,3,dictumst etiam faucibus cursus urna ut tellus nulla ut erat
Customer-focused,0531735044,implementation,18291,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,4,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Multi-channelled,0497099926,Versatile,19672,turpis integer aliquet massa id lobortis convallis tortor risus dapibus,2,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
static,1444521381,uniform,12987,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,2,ornare consequat lectus in est risus auctor sed tristique in tempus
content-based,9721834513,Virtual,37155,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
actuating,5789985173,Compatible,26962,consequat in consequat ut nulla sed accumsan felis ut at,2,lectus aliquam sit amet diam in magna bibendum imperdiet nullam
impactful,0087669927,challenge,4435,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,5,amet sem fusce consequat nulla nisl nunc nisl duis bibendum
Triple-buffered,9968912336,info-mediaries,16764,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,2,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
cohesive,8568396550,Operative,37456,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
24/7,3812057743,interface,8943,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,4,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
ability,2747564797,Synchronised,29076,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,3,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
infrastructure,9104905598,Configurable,10369,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,4,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
moratorium,2061278299,analyzing,19147,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,3,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
Assimilated,0559104286,architecture,23296,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,5,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
Open-source,4834567249,secured line,42304,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,5,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
utilisation,9004771204,Stand-alone,47657,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
